year,total_rainfall_preseason,total_snowfall_preseason,avg_temp_preseason,total_precip_preseason,temp_range_preseason,nov_avg_temp,nov_total_precip,nov_total_snow,nov_temp_trend,dec_avg_temp,dec_total_precip,dec_total_snow,dec_temp_trend,dec_days_with_snow,oni_oct_dec,el_nino_strength,la_nina_strength,nao_oct_dec,ao_oct_dec,pna_oct_dec,snow_days_count,total_snowfall_winter,avg_winter_temp,min_winter_temp,total_winter_precip,days_with_snow,winter_season,is_test
1964,15.266,7.771,56.221702127659576,16.375,17.788936170212764,40.803333333333335,2.972,0,-4.314285714285717,24.461904761904762,2.346,7.771,-0.2571428571428598,7,-0.82,0,0.82,0.19333333333333333,-0.08293333333333333,-0.6533333333333333,1,36.189,29.365384615384617,-13.9,13.294,53,1964-1965,FALSE
1965,15.097,5.924,56.933617021276596,15.942,17.321702127659574,38.1,2.37,0.716,-5.0428571428571445,30.038095238095238,1.432,5.208,-7.771428571428572,9,1.97,1.97,0,0.03000000000000006,-0.26149999999999995,-0.32,4,55.531,30.893076923076922,-6.3,15.081,40,1965-1966,TRUE
1966,24.068,8.297,57.638723404255316,25.254,17.20595744680851,43.4,5.992,1.626,-0.9285714285714235,32.62380952380953,1.296,5.982,-0.6428571428571423,6,-0.18,0,0.18,-2.546068101720126e-17,-0.7891666666666667,-0.8833333333333333,2,57.516,29.276153846153846,-14.8,15.856,47,1966-1967,FALSE
1967,26.434,14.057,55.950212765957446,28.438,15.750212765957446,35.46,3.614,10.556000000000001,-13.185714285714283,31.957142857142856,3.023,2.894,4.700000000000003,5,-0.34,0,0.34,0.07333333333333332,0.42843333333333333,-0.11,2,44.178000000000004,30.07328244274809,-12.4,16.472,35,1967-1968,FALSE
1968,30.678,22.267,56.5131914893617,33.861,15.62808510638298,37.50666666666667,5.8629999999999995,15.68,-6.414285714285711,27.752380952380953,4.756,6.587000000000001,-12.92857142857143,6,0.73,0.73,0,-1.5433333333333332,-1.3263333333333334,-0.09999999999999998,4,57.463,30.07,-12.8,15.99,41,1968-1969,FALSE
1969,25.924,7.8,56.86808510638298,27.04,15.48468085106383,40.92333333333333,5.507,0,-14.457142857142856,28.604761904761904,3.423,7.662,-2.942857142857143,8,0.81,0.81,0,-0.19333333333333333,-0.4774,0.78,2,52.42,27.826153846153847,-6.9,17.039,44,1969-1970,FALSE
1970,20.963,14.551,57.971489361702126,23.042,16.41531914893617,41.82,2.784,0.055,-11.700000000000003,27.104761904761904,3.0549999999999997,14.496,-10.542857142857144,10,-0.86,0,0.86,-0.9066666666666666,0.02583333333333333,-0.9966666666666668,6,58.649,27.05153846153846,-13,14.453,45,1970-1971,TRUE
1971,21.384,21.496000000000002,57.740425531914894,24.455,17.058723404255318,37.54333333333334,5.268,15.46,-20.2,29.43809523809524,1.591,6.0360000000000005,9.8,7,-0.96,0,0.96,0.32666666666666666,0.8091333333333334,-1.03,3,53.356,29.319083969465648,-13.5,17.249,51,1971-1972,FALSE
1972,36.322,26.07,54.7668085106383,40.045,15.868510638297874,35.20666666666666,6.066,6.338,-6.857142857142854,27.38095238095238,4.8260000000000005,18.878,-8.971428571428572,12,2.09,2.09,0,0.6066666666666667,0.41633333333333333,-0.5,1,23.508,34.59538461538462,-8.4,15.883,26,1972-1973,FALSE
1973,29.396,2.673,58.3004255319149,29.778,14.990212765957446,41.083333333333336,2.978,0,0.6571428571428584,34.42857142857143,6.264,2.673,-12.657142857142858,6,-1.95,0,1.95,-0.6166666666666667,0.05260000000000001,-0.6733333333333333,1,31.364,33.14769230769231,-16,16.309,36,1973-1974,FALSE
1974,26.547,9.591,56.212765957446805,27.916,15.573617021276595,41.17666666666667,2.717,2.674,-19.171428571428567,32.80952380952381,3.823,6.917,1.2285714285714313,6,-0.75,0,0.75,0.48333333333333334,-0.30073333333333335,0.6466666666666666,0,45.03,31.492307692307694,-3.1,15.912,44,1974-1975,FALSE
1975,35.456,5.652,58.91063829787234,36.263,15.542553191489361,46.02333333333333,4.696,0.5800000000000001,-16.042857142857137,31.571428571428573,1.7389999999999999,5.072,-7.742857142857147,6,-1.55,0,1.55,-0.04333333333333335,0.6820666666666667,-0.4166666666666667,1,50.985,32.893893129770994,-13.2,18.551,38,1975-1976,TRUE
1976,25.697,4.795,55.88765957446809,26.381,15.99191489361702,36.49333333333333,0.94,1.13,-2.7285714285714278,25.47142857142857,2.055,3.61,6.100000000000001,6,0.86,0.86,0,-0.5033333333333334,-0.9885666666666668,1,4,55.617,30.604615384615386,-1.6,18.695,45,1976-1977,FALSE
1977,30.548,23.974,57.439574468085105,33.972,15.692340425531915,42.64666666666667,3.307,1.322,-15.071428571428577,27.014285714285716,5.437,15.019,-3.5428571428571445,12,0.81,0.81,0,-0.18333333333333332,0.11883333333333332,0.08666666666666666,4,54.65,28.36769230769231,-5.4,15.348,33,1977-1978,FALSE
1978,23.706,9.948,56.62,25.127,16.42340425531915,40.1,1.686,4.382,-18.985714285714284,30.185714285714287,2.972,5.566,-8.400000000000002,7,-0.08,0,0.08,1.1333333333333333,0.7946666666666666,-0.24333333333333332,2,32.906,31.043846153846154,-10,20.93,40,1978-1979,FALSE
1979,31.343,6.201,58.028936170212766,32.194,15.243829787234043,45.67666666666667,4.418,0.028,3.3999999999999986,30.933333333333334,1.256,3.83,-13.014285714285712,4,0.52,0.52,0,0.41,0.17549999999999996,0.5633333333333334,2,18.633,31.929007633587787,-4.2,12.545,20,1979-1980,FALSE
1980,22.25,13.505,56.754893617021274,24.15,16.593617021276597,36.85333333333333,3.0909999999999997,7.056,-4.51428571428572,26.285714285714285,1.187,6.449,-15.55714285714286,9,0.11,0.11,0,-0.4533333333333333,-0.6465,1.1766666666666667,2,26.186,31.20846153846154,-14.2,14.74,37,1980-1981,TRUE
1981,25.88,20.588,56.814468085106384,28.755,15.89531914893617,39.82,1.432,0,-14.042857142857144,27.423809523809524,4.315,20.478,-10.842857142857142,13,-0.15,0,0.15,-0.5833333333333334,-0.8569666666666667,-0.10333333333333332,2,41.176,29.006153846153847,-11.5,13.668,47,1981-1982,FALSE
1982,25.919,4.41,57.329361702127656,26.463,16.268510638297872,44.05,3.516,0.41400000000000003,-18.4,34.43809523809524,1.115,3.996,-18.999999999999996,7,2.18,2.18,0,0.88,0.47236666666666666,-0.22,3,40.569,34.027692307692305,-7.5,21.808,24,1982-1983,FALSE
1983,35.882,10.142,58.42212765957447,37.287,16.277021276595743,41.29666666666667,9.36,1.7630000000000001,-6.042857142857137,31.504761904761903,4.166,8.379,-3.3142857142857167,6,-1,0,1,-0.01333333333333332,0.2890666666666667,0.54,3,46.768,30.308396946564887,-15.2,19.524,34,1983-1984,FALSE
1984,28.418,6.008,58.022127659574465,29.229,15.888510638297872,40.91,2.398,0.248,-2.414285714285718,34.357142857142854,1.863,5.76,2.4857142857142804,6,-0.92,0,0.92,-0.04333333333333333,-0.26339999999999997,-0.6033333333333334,0,27.999,32.70538461538462,-2.1,8.861,34,1984-1985,FALSE
1985,28.393,15.57,56.848510638297874,30.583,15.989787234042554,41.29,5.816,8.681,-15.614285714285717,26.014285714285716,1.472,6.228,-12.228571428571428,8,-0.27,0,0.27,0.15,-0.7100000000000001,-0.6733333333333333,0,19.403,32.34076923076923,-7.8,13.741,31,1985-1986,TRUE
1986,34.448,18.797,55.8,37.089,15.349787234042553,37.27,5.541,9.729000000000001,-1.3714285714285737,31.38095238095238,5.0120000000000005,9.068,-2.471428571428568,10,1.14,1.14,0,1.61,0.8033666666666667,0.52,3,65.59,31.273076923076925,-8.4,18.199,37,1986-1987,FALSE
1987,21.041999999999998,15.461,57.386808510638296,23.230999999999998,16.134468085106384,39.68333333333334,2.999,9.039,-7.685714285714283,33.22857142857143,2.1430000000000002,6.422000000000001,-4.614285714285714,8,1.25,1.25,0,0.21333333333333335,-0.38323333333333337,0.8633333333333334,4,35.964,31.681679389312976,-11.6,12.319,29,1987-1988,FALSE
1988,25.803,1.9849999999999999,57.505531914893616,26.043,15.983829787234042,42.36,7.208,0,-6.585714285714282,27.447619047619046,0.26,1.9849999999999999,-8.042857142857141,5,-1.8,0,1.8,-0.27,0.5588333333333334,0.4733333333333334,0,19.544,33.01307692307692,-0.7,12.161999999999999,37,1988-1989,FALSE
1989,32.416,8.461,56.19446808510638,33.589,15.949787234042553,39.53333333333333,4.976,3.527,-15.400000000000002,16.69047619047619,0.862,4.934,-5,4,-0.16,0,0.16,-0.33999999999999997,0.12693333333333331,-0.3266666666666666,2,31.667,34.61153846153846,-6,15.135,33,1989-1990,FALSE
1990,30.766000000000002,1.847,58.0531914893617,31.017,15.628510638297874,42.58,2.343,0.441,-7.0142857142857125,34.53333333333333,3.7439999999999998,1.4060000000000001,-1.1999999999999957,4,0.4,0.4,0,0.07,0.8191999999999999,-1.34,1,26.652,35.99230769230769,-7.9,13.609,28,1990-1991,TRUE
1991,28.52,8.983,59.225531914893615,29.773,16.74553191489362,41.276666666666664,3.598,1.873,-6.085714285714289,32.90952380952381,3.138,7.109999999999999,-10.199999999999996,8,1.21,1.21,0,0.25,0.5486666666666666,-0.5233333333333333,0,18.768,32.0618320610687,0.5,10.705,34,1991-1992,FALSE
1992,26.396,26.512999999999998,55.98765957446808,30.151,15.88468085106383,38.97,4.116,0.772,0.9571428571428626,30.69047619047619,5.05,25.741,-2.2428571428571438,5,-0.28,0,0.28,-0.03333333333333336,0.6592666666666667,-0.05666666666666667,5,64.901,30.34769230769231,-13.3,17.476,38,1992-1993,FALSE
1993,23.894,2.37,58.53829787234042,24.214,16.560425531914895,41.416666666666664,4.8629999999999995,0.193,-5.185714285714283,35.44285714285714,4.108,2.177,-1.5428571428571445,5,0.04,0.04,0,1.1366666666666667,0.11090000000000004,0.02,3,61.182,28.703076923076924,-14,18.148,46,1993-1994,FALSE
1994,25.13,7.909,58.452340425531915,26.25,16.124255319148936,44.803333333333335,2.992,4.712,-21.07142857142857,32.904761904761905,2.69,3.197,-11.957142857142856,5,1.01,1.01,0,0.5633333333333334,0.9490666666666668,-0.4033333333333333,1,17.747,33.91615384615385,-9.8,12.886000000000001,22,1994-1995,FALSE
1995,27.939,19.181,57.422553191489364,30.568,16.324680851063828,38.57333333333333,4.761,2.315,-10,24.64761904761905,2.735,16.866,-9.600000000000001,11,-1,0,1,-0.9533333333333333,-0.9251333333333334,0.04000000000000001,6,57.712,30.58854961832061,-8.1,18.454,46,1995-1996,TRUE
1996,32.819,17.144,56.70595744680851,35.267,14.731914893617022,36.36666666666667,2.507,1.296,-12.628571428571433,35.15714285714286,5.3229999999999995,15.819999999999999,-0.11428571428571388,8,-0.45,0,0.45,-0.7666666666666666,-0.4673000000000001,-0.8133333333333334,3,48.478,32.598461538461535,-8.8,18.177,33,1996-1997,FALSE
1997,21.064,8.848,56.161702127659574,22.227,15.737872340425533,37.10666666666667,5.068,7.165,-17.771428571428572,31.1,0.859,1.683,-1.385714285714279,7,2.4,2.4,0,-1.1866666666666663,-0.4773,0.6033333333333333,3,42.719,35.65769230769231,-3,18.961,36,1997-1998,FALSE
1998,25.674,0.028,58.76340425531915,25.678,14.928510638297873,40.593333333333334,1.476,0,1.557142857142857,39.904761904761905,0.389,0.028,-14.800000000000004,1,-1.48,0,1.48,0.1,0.06609999999999998,0.4,1,32.713,33.32692307692308,-10.5,15.766,36,1998-1999,FALSE
1999,27.519,0.248,59.782978723404256,27.555,16.476170212765958,44.82666666666667,2.064,0.138,-3.557142857142857,36.93809523809524,2.29,0.11,-5.700000000000003,2,-1.46,0,1.46,0.8200000000000001,0.5494,0.36666666666666664,1,27.972,32.81297709923664,-5.6,13.721,31,1999-2000,FALSE
2000,26.825,7.497,55.49404255319149,27.852,15.023829787234042,39.72,3.122,0.33,-11.642857142857139,27.757142857142856,2.476,6.45,2.4857142857142875,5,-0.75,0,0.75,-0.19333333333333333,-1.2063666666666666,0.74,4,66.58,30.355384615384615,1.3,15.189,46,2000-2001,TRUE
2001,18.538999999999998,6.367,59.519574468085104,19.441,16.451489361702127,44.92,1.166,0,-1.942857142857143,39.63333333333333,2.281,6.367,-17.91428571428571,5,-0.35,0,0.35,-0.14666666666666664,0.0679,0.4766666666666667,1,30.538,35.90923076923077,6.7,13.084999999999999,34,2001-2002,FALSE
2002,27.634999999999998,22.82,56.70340425531915,30.831,15.902978723404255,38.18,5.157,6.616,-3.62857142857143,26.89047619047619,4.016,12.98,7.442857142857143,8,1.31,1.31,0,-1.1333333333333333,-1.5019,0.8266666666666667,4,53.653999999999996,28.20769230769231,-9.9,14.927,45,2002-2003,FALSE
2003,32.801,19.211,56.541702127659576,35.508,14.548936170212766,42.29,3.1069999999999998,0.056,-11.899999999999999,26.504761904761907,4.967,18.383,4.100000000000001,7,0.35,0.35,0,0.08,0.07926666666666667,0.03666666666666666,0,21.498,31.103053435114504,-13.8,13.176,27,2003-2004,FALSE
2004,25.293,8.021,57.32553191489362,26.397,15.597021276595745,40.97,3.182,3.3899999999999997,-3.9857142857142875,31.504761904761907,2.683,4.631,-11.414285714285711,8,0.66,0.66,0,0.27999999999999997,0.4643333333333333,-0.2733333333333333,3,52.887,31.316153846153846,-10,18.614,41,2004-2005,FALSE
2005,34.342999999999996,12.54,57.6336170212766,36.089,15.042553191489361,42.88666666666667,4.227,1.8459999999999999,-14.885714285714286,25.404761904761905,2.136,10.17,-8.785714285714285,5,-0.57,0,0.57,-0.5766666666666667,-0.6154666666666666,0.5066666666666666,2,24.943,35.81846153846154,1.7,12.391,26,2005-2006,TRUE
2006,36.161,0.579,58.308510638297875,36.185,14.086808510638297,45.513333333333335,4.683,0,2.114285714285714,38.41428571428571,0.45599999999999996,0.579,0.7714285714285722,3,0.94,0.94,0,-0.15683333333333332,0.5912999999999999,-0.12063333333333331,1,42.248,31.636153846153846,-4,19.535,36,2006-2007,FALSE
2007,21.439,22.57,58.09914893617021,24.593,16.959574468085105,39,3.1270000000000002,1.4889999999999999,-8.528571428571425,24.752380952380953,3.444,21.081,-1.1857142857142868,13,-1.5,0,1.5,0.4552333333333333,0.22863333333333333,0.4608333333333333,1,41.205,34.11832061068702,-4.7,21.007,37,2007-2008,FALSE
2008,32.947,16.59,57.37659574468085,35.247,15.546808510638298,39.776666666666664,3.903,0.855,-13.100000000000001,30.814285714285713,5.783,15.735,-5.885714285714283,7,-0.55,0,0.55,-0.2132666666666667,0.8052666666666667,0.18566666666666667,1,38.693,31.799230769230768,-9.2,12.97,31,2008-2009,FALSE
2009,33.278,16.508,56.36595744680851,35.621,14.295744680851064,44.78,3.979,0.028,1.2428571428571402,29.414285714285715,3.67,13.366,-17.97142857142857,5,1.36,1.36,0,-0.9942333333333332,-1.4979333333333331,0.3251,2,40.128,34.71923076923077,-0.8,21.224,38,2009-2010,FALSE
2010,26.154,3.335,59.39744680851064,26.588,15.758297872340426,40.37,2.847,2.508,-4.385714285714286,28.723809523809525,2.823,0.827,-9.657142857142862,5,-1.64,0,1.64,-1.4637666666666669,-1.1579,-0.2752333333333334,6,62.559,31.41,-10.6,18.448999999999998,44,2010-2011,TRUE
2011,34.262,14.304,59.59957446808511,36.301,15.002127659574468,45.20333333333333,4.146,1.654,6.971428571428568,37.352380952380955,2.485,0.717,-8.299999999999997,1,-1.09,0,1.09,1.425,1.4932666666666667,0.0674,2,20.838,38.32977099236641,0.6,10.173,26,2011-2012,FALSE
2012,26.919,9.289,59.18,28.199,15.002553191489362,38.196666666666665,0.9530000000000001,5.042999999999999,-6.685714285714283,37.128571428571426,3.154,4.246,-2.1571428571428584,5,0.05,0.05,0,-0.8231999999999999,-1.1244,-1.0937,5,66.997,32.38923076923077,-1.9,13.986,40,2012-2013,FALSE
2013,26.184,14.881,57.59914893617022,28.266,16.12808510638298,38.38333333333333,2.9299999999999997,0.662,-17.242857142857147,27.695238095238096,2.765,14.219,-10.728571428571428,9,-0.17,0,0.17,0.1888,1.2555666666666667,-0.794,2,41.176,29.386923076923075,-8.1,16.548,46,2013-2014,FALSE
2014,24.587,15.047,57.827659574468086,26.624,15.741702127659574,38.6,3.741,10.004,-7.185714285714283,31.98095238095238,3.524,5.043,-3.128571428571423,11,0.64,0.64,0,0.42163333333333336,-0.4172666666666667,0.7447,3,52.638,27.85153846153846,-7.9,13.015,51,2014-2015,FALSE
2015,22.301,0.11,60.36893617021276,22.317,16.86723404255319,44.78333333333333,1.421,0.11,-16.599999999999994,41.023809523809526,1.28,0,1.6571428571428584,0,2.57,2.57,0,1.4748666666666663,1.0463333333333331,0.7864666666666666,2,24.337,35.98091603053435,-17.5,14.571,27,2015-2016,TRUE
2016,21.437,9.288,59.3795744680851,22.681,16.376595744680852,42.25,2.6270000000000002,0.46900000000000003,-7.857142857142861,29.457142857142856,2.5,8.626,-15.142857142857139,7,-0.67,0,0.67,0.24196666666666664,-0.24726666666666663,0.8009666666666666,3,61.844,35.42153846153846,-3,17.614,36,2016-2017,FALSE
2017,28.806,4.024,58.19787234042553,29.381,16.330212765957448,39.94,1.538,0.055,-13.842857142857142,30.32857142857143,1.6059999999999999,3.9690000000000003,-12.028571428571428,6,-0.84,0,0.84,0.3542,0.18456666666666668,-0.5223666666666666,3,52.636,31.932307692307692,-8.6,19.809,48,2017-2018,FALSE
2018,39.779,14.882,58.365531914893616,41.905,16.35914893617021,36.696666666666665,8.324,12.125,-15.142857142857139,31.057142857142857,3.272,2.757,2.1571428571428584,5,0.9,0.9,0,0.4782666666666667,-0.1979,0.4373,2,31.749,33.18538461538461,-4.9,17.776,29,2018-2019,FALSE
2019,28.264,19.154,57.5131914893617,31,17.322978723404255,36.56333333333333,3.283,0.799,-7.0428571428571445,28.71904761904762,5.457,18.3,-2.7857142857142847,7,0.51,0.51,0,0.02223333333333334,-0.28783333333333333,-0.2999,1,32.464999999999996,36.019847328244275,2.4,16.917,30,2019-2020,FALSE
2020,23.89,20.367,59.53872340425532,26.794999999999998,18.334468085106383,45.04666666666667,4.446,0,-5.228571428571428,32.095238095238095,4.003,17.418,-15.414285714285711,5,-1.27,0,1.27,0.5291333333333335,0.09289999999999994,0.22943333333333335,2,29.686,34.885384615384616,2.7,16.491,36,2020-2021,TRUE
2021,42.028,3.472,59.50042553191489,42.523,16.124255319148936,40.89333333333333,2.16,0.772,-9.399999999999999,36.8,1.8860000000000001,2.7,-0.4285714285714306,4,-0.98,0,0.98,-0.7286666666666666,0.04843333333333333,-0.23429999999999995,3,33.21,34.075384615384614,-3.9,16.076,34,2021-2022,FALSE
2022,24.847,4.354,60.399574468085106,25.47,18.552340425531913,45.21666666666667,3.051,1.598,-18.957142857142863,34.180952380952384,3.1630000000000003,2.756,-6.971428571428568,5,-0.92,0,0.92,-0.05696666666666666,-0.34486666666666665,-0.4099666666666667,5,59.092,37.04538461538461,-15.2,20.196,42,2022-2023,FALSE
2023,40.864000000000004,2.343,58.12255319148936,41.198,16.556170212765956,38.31,1.7429999999999999,1.984,-9.942857142857143,37.15714285714286,5.668,0.35900000000000004,1.7285714285714278,2,1.92,1.92,0,-0.1373666666666666,-0.22373333333333337,0.9881333333333332,2,29.213,36.54274809160305,7.7,19.622,31,2023-2024,FALSE
2024,23.997,4.1610000000000005,59.39617021276596,24.592,17.428936170212765,44.57,2.867,0.055,-16.771428571428572,31.547619047619047,3.43,4.106,3.9285714285714306,5,-0.37,0,0.37,0.1998666666666667,0.05063333333333334,0.5982333333333334,1,26.6,33.88153846153846,-4,14.046000000000001,33,2024-2025,FALSE
